Type,Component,Date,Value,Year
Expense,Food,Jan-24,"₹ 2,879.00",2024
Expense,Travel,Jan-24,"₹ 2,071.00",2024
Expense,EMI,Jan-24,"₹ 12,580.00",2024
Expense,Health,Jan-24,₹ 814.00,2024
Expense,Groceries,Jan-24,"₹ 4,364.00",2024
Income,Salary,Jan-24,"₹ 49,180.00",2024
Income,Savings,Jan-24,"₹ 4,858.00",2024
Expense,Food,Feb-24,"₹ 3,702.00",2024
Expense,Travel,Feb-24,"₹ 2,315.00",2024
Expense,EMI,Feb-24,"₹ 14,326.00",2024
Expense,Health,Feb-24,"₹ 2,337.00",2024
Expense,Groceries,Feb-24,"₹ 4,367.00",2024
Income,Salary,Feb-24,"₹ 54,012.00",2024
Income,Savings,Feb-24,"₹ 7,404.00",2024
Expense,Food,Mar-24,"₹ 3,058.00",2024
Expense,Travel,Mar-24,"₹ 2,812.00",2024
Expense,EMI,Mar-24,"₹ 9,267.00",2024
Expense,Health,Mar-24,"₹ 1,565.00",2024
Expense,Groceries,Mar-24,"₹ 3,236.00",2024
Income,Salary,Mar-24,"₹ 54,093.00",2024
Income,Savings,Mar-24,"₹ 4,490.00",2024
Expense,Food,Apr-24,"₹ 2,919.00",2024
Expense,Travel,Apr-24,"₹ 1,200.00",2024
Expense,EMI,Apr-24,"₹ 10,902.00",2024
Expense,Health,Apr-24,"₹ 1,437.00",2024
Expense,Groceries,Apr-24,"₹ 3,569.00",2024
Income,Salary,Apr-24,"₹ 44,611.00",2024
Income,Savings,Apr-24,"₹ 7,875.00",2024
Expense,Food,May-24,"₹ 2,905.00",2024
Expense,Travel,May-24,"₹ 1,420.00",2024
Expense,EMI,May-24,"₹ 11,220.00",2024
Expense,Health,May-24,"₹ 1,509.00",2024
Expense,Groceries,May-24,"₹ 4,718.00",2024
Income,Salary,May-24,"₹ 47,384.00",2024
Income,Savings,May-24,"₹ 3,752.00",2024
Expense,Food,Jun-24,"₹ 3,661.00",2024
Expense,Travel,Jun-24,"₹ 1,890.00",2024
Expense,EMI,Jun-24,"₹ 12,643.00",2024
Expense,Health,Jun-24,"₹ 1,830.00",2024
Expense,Groceries,Jun-24,"₹ 3,170.00",2024
Income,Salary,Jun-24,"₹ 45,977.00",2024
Income,Savings,Jun-24,"₹ 7,079.00",2024
Expense,Food,Jul-24,"₹ 3,565.00",2024
Expense,Travel,Jul-24,"₹ 2,816.00",2024
Expense,EMI,Jul-24,"₹ 14,360.00",2024
Expense,Health,Jul-24,₹ 506.00,2024
Expense,Groceries,Jul-24,"₹ 3,474.00",2024
Income,Salary,Jul-24,"₹ 44,031.00",2024
Income,Savings,Jul-24,"₹ 5,972.00",2024
Expense,Food,Aug-24,"₹ 3,913.00",2024
Expense,Travel,Aug-24,"₹ 1,673.00",2024
Expense,EMI,Aug-24,"₹ 11,634.00",2024
Expense,Health,Aug-24,"₹ 2,480.00",2024
Expense,Groceries,Aug-24,"₹ 3,176.00",2024
Income,Salary,Aug-24,"₹ 49,520.00",2024
Income,Savings,Aug-24,"₹ 6,863.00",2024
Expense,Food,Sep-24,"₹ 3,346.00",2024
Expense,Travel,Sep-24,"₹ 1,384.00",2024
Expense,EMI,Sep-24,"₹ 14,135.00",2024
Expense,Health,Sep-24,"₹ 2,452.00",2024
Expense,Groceries,Sep-24,"₹ 4,388.00",2024
Income,Salary,Sep-24,"₹ 41,969.00",2024
Income,Savings,Sep-24,"₹ 3,012.00",2024
Expense,Food,Oct-24,"₹ 2,052.00",2024
Expense,Travel,Oct-24,"₹ 2,928.00",2024
Expense,EMI,Oct-24,"₹ 10,419.00",2024
Expense,Health,Oct-24,"₹ 1,306.00",2024
Expense,Groceries,Oct-24,"₹ 4,600.00",2024
Income,Salary,Oct-24,"₹ 44,355.00",2024
Income,Savings,Oct-24,"₹ 4,369.00",2024
Expense,Food,Nov-24,"₹ 3,076.00",2024
Expense,Travel,Nov-24,"₹ 1,850.00",2024
Expense,EMI,Nov-24,"₹ 12,579.00",2024
Expense,Health,Nov-24,"₹ 2,914.00",2024
Expense,Groceries,Nov-24,"₹ 3,618.00",2024
Income,Salary,Nov-24,"₹ 52,871.00",2024
Income,Savings,Nov-24,"₹ 7,619.00",2024
Expense,Food,Dec-24,"₹ 2,860.00",2024
Expense,Travel,Dec-24,"₹ 1,802.00",2024
Expense,EMI,Dec-24,"₹ 13,101.00",2024
Expense,Health,Dec-24,"₹ 2,785.00",2024
Expense,Groceries,Dec-24,"₹ 2,183.00",2024
Income,Salary,Dec-24,"₹ 50,172.00",2024
Income,Savings,Dec-24,"₹ 6,366.00",2024
Expense,Food,Jan-25,"₹ 3,713.00",2025
Expense,Travel,Jan-25,"₹ 2,497.00",2025
Expense,EMI,Jan-25,"₹ 9,858.00",2025
Expense,Health,Jan-25,"₹ 1,325.00",2025
Expense,Groceries,Jan-25,"₹ 3,148.00",2025
Income,Salary,Jan-25,"₹ 47,530.00",2025
Income,Savings,Jan-25,"₹ 4,662.00",2025
Expense,Food,Feb-25,"₹ 3,228.00",2025
Expense,Travel,Feb-25,"₹ 1,988.00",2025
Expense,EMI,Feb-25,"₹ 13,041.00",2025
Expense,Health,Feb-25,"₹ 2,723.00",2025
Expense,Groceries,Feb-25,"₹ 2,021.00",2025
Income,Salary,Feb-25,"₹ 45,367.00",2025
Income,Savings,Feb-25,"₹ 7,129.00",2025
Expense,Food,Mar-25,"₹ 3,956.00",2025
Expense,Travel,Mar-25,"₹ 1,891.00",2025
Expense,EMI,Mar-25,"₹ 12,668.00",2025
Expense,Health,Mar-25,"₹ 1,912.00",2025
Expense,Groceries,Mar-25,"₹ 4,538.00",2025
Income,Salary,Mar-25,"₹ 43,887.00",2025
Income,Savings,Mar-25,"₹ 6,313.00",2025
Expense,Food,Apr-25,"₹ 2,694.00",2025
Expense,Travel,Apr-25,"₹ 2,618.00",2025
Expense,EMI,Apr-25,"₹ 14,285.00",2025
Expense,Health,Apr-25,"₹ 2,070.00",2025
Expense,Groceries,Apr-25,"₹ 2,307.00",2025
Income,Salary,Apr-25,"₹ 48,199.00",2025
Income,Savings,Apr-25,"₹ 5,681.00",2025
Expense,Food,May-25,"₹ 4,000.00",2025
Expense,Travel,May-25,"₹ 2,185.00",2025
Expense,EMI,May-25,"₹ 12,407.00",2025
Expense,Health,May-25,"₹ 1,550.00",2025
Expense,Groceries,May-25,"₹ 3,534.00",2025
Income,Salary,May-25,"₹ 51,196.00",2025
Income,Savings,May-25,"₹ 6,917.00",2025
Expense,Food,Jun-25,"₹ 2,070.00",2025
Expense,Travel,Jun-25,"₹ 1,972.00",2025
Expense,EMI,Jun-25,"₹ 10,951.00",2025
Expense,Health,Jun-25,₹ 651.00,2025
Expense,Groceries,Jun-25,"₹ 4,375.00",2025
Income,Salary,Jun-25,"₹ 42,532.00",2025
Income,Savings,Jun-25,"₹ 3,865.00",2025
Expense,Food,Jul-25,"₹ 3,262.00",2025
Expense,Travel,Jul-25,"₹ 1,165.00",2025
Expense,EMI,Jul-25,"₹ 10,654.00",2025
Expense,Health,Jul-25,"₹ 1,241.00",2025
Expense,Groceries,Jul-25,"₹ 4,186.00",2025
Income,Salary,Jul-25,"₹ 40,294.00",2025
Income,Savings,Jul-25,"₹ 5,072.00",2025
Expense,Food,Aug-25,"₹ 3,647.00",2025
Expense,Travel,Aug-25,"₹ 1,341.00",2025
Expense,EMI,Aug-25,"₹ 14,928.00",2025
Expense,Health,Aug-25,"₹ 1,762.00",2025
Expense,Groceries,Aug-25,"₹ 4,039.00",2025
Income,Salary,Aug-25,"₹ 51,821.00",2025
Income,Savings,Aug-25,"₹ 6,645.00",2025
Expense,Food,Sep-25,"₹ 2,238.00",2025
Expense,Travel,Sep-25,"₹ 1,504.00",2025
Expense,EMI,Sep-25,"₹ 11,362.00",2025
Expense,Health,Sep-25,₹ 645.00,2025
Expense,Groceries,Sep-25,"₹ 3,448.00",2025
Income,Salary,Sep-25,"₹ 40,120.00",2025
Income,Savings,Sep-25,"₹ 6,459.00",2025
Expense,Food,Oct-25,"₹ 3,652.00",2025
Expense,Travel,Oct-25,"₹ 2,422.00",2025
Expense,EMI,Oct-25,"₹ 9,290.00",2025
Expense,Health,Oct-25,"₹ 1,483.00",2025
Expense,Groceries,Oct-25,"₹ 2,150.00",2025
Income,Salary,Oct-25,"₹ 40,479.00",2025
Income,Savings,Oct-25,"₹ 5,875.00",2025
Expense,Food,Nov-25,"₹ 2,231.00",2025
Expense,Travel,Nov-25,"₹ 1,038.00",2025
Expense,EMI,Nov-25,"₹ 11,793.00",2025
Expense,Health,Nov-25,"₹ 1,838.00",2025
Expense,Groceries,Nov-25,"₹ 4,563.00",2025
Income,Salary,Nov-25,"₹ 44,369.00",2025
Income,Savings,Nov-25,"₹ 3,382.00",2025
Expense,Food,Dec-25,"₹ 2,665.00",2025
Expense,Travel,Dec-25,"₹ 1,708.00",2025
Expense,EMI,Dec-25,"₹ 14,680.00",2025
Expense,Health,Dec-24,"₹ 2,754.00",2025
Expense,Groceries,Dec-24,"₹ 3,525.00",2025
Income,Salary,Dec-24,"₹ 40,218.00",2025
Income,Savings,Dec-24,"₹ 4,871.00",2025

